epoch,accuracy,loss,val_accuracy,val_loss,cat_acc,dog_acc
0,0.853,2.097747126998942,0.95875,0.19410261544375623,0.965,0.9525
1,0.972,0.11536961840547139,0.95125,0.22837663553296378,0.975,0.9275
2,0.965,0.13753299397624116,0.9425,0.24658042009149167,0.98,0.905
3,0.974,0.12739997324567154,0.96125,0.1346734219174767,0.96,0.9625
4,0.972,0.1147286487518063,0.95875,0.15005578884924708,0.975,0.9425
5,0.981,0.07306872815648612,0.96,0.15387992534993203,0.9525,0.9675
6,0.975,0.08429644701455825,0.95125,0.17965439171461295,0.9775,0.925
7,0.978,0.08393686767344778,0.96125,0.15446788875495798,0.97,0.9525
8,0.978,0.08774128640184227,0.95,0.1729987397390687,0.96,0.94
9,0.985,0.05500621352468808,0.9375,0.23749799589524373,0.9825,0.8925
